epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation
1,0.461510,0.665818,1.586468,0.000070,0.514861,0.000000
2,0.458825,0.661944,1.582213,0.000011,0.472831,0.000000
3,0.462474,0.667209,1.587998,0.000176,0.498649,0.000000
1,0.458973,0.662159,1.582449,0.001755,0.490359,0.000000
2,0.457344,0.659808,1.579872,0.003832,0.501186,0.000000
3,0.454919,0.656309,1.576045,0.003667,0.553093,0.000000
1,0.458973,0.662159,1.582449,0.001755,0.490359,0.000000
2,0.457344,0.659808,1.579872,0.003832,0.501186,0.000000
3,0.454919,0.656309,1.576045,0.003667,0.553093,0.000000
