epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation,p0_given_E,p0_given_O,frac_O,argmax0_given_O
1,0.513353,0.740611,1.670884,0.446899,0.218047,0.000000,0.394584,0.093640,0.334400,0.000000
2,0.503511,0.726412,1.654520,0.460113,0.241716,0.000000,0.426989,0.089559,0.334400,0.000000
3,0.512275,0.739056,1.669083,0.552260,0.292544,0.995297,0.522929,0.091618,0.334400,0.000000
ar,1,0.602418,0.869106,1.826530,0.486305,0.253897,0.000000,0.014861,0.093395,0.412465,0.667193,0.668756,0.370590,0.253151,0.333400,0.000000
ar,2,0.553155,0.798034,1.738730,0.395986,0.196135,0.000000,0.070398,0.198082,0.400390,0.667193,0.737353,0.327037,0.134181,0.333400,0.000000
ar,3,0.534778,0.771521,1.707069,0.482050,0.269667,0.000000,0.026133,0.239215,0.375749,0.667193,0.659651,0.435545,0.150614,0.333400,0.000000
