epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation
1,0.601355,0.867571,1.824589,0.438740,0.188493,0.000000
2,0.532489,0.768219,1.703166,0.450915,0.235697,0.000000
3,0.560268,0.808296,1.751142,0.562010,0.299648,0.975897
1,0.551703,0.795939,1.736207,0.511042,0.290447,0.951807
2,0.534506,0.771129,1.706604,0.519941,0.219195,0.951807
3,0.499048,0.719974,1.647152,0.437953,0.223209,0.000000
1,0.584764,0.843637,1.794568,0.568642,0.295315,0.929379
2,0.526936,0.760208,1.693735,0.417489,0.227266,0.000000
3,0.500700,0.722358,1.649877,0.478615,0.248146,0.420904
1,0.551703,0.795939,1.736207,0.511042,0.290447,0.951807,0.436147,0.213083,0.344309,0.000000
2,0.534506,0.771129,1.706604,0.519941,0.219195,0.951807,0.427760,0.094819,0.344309,0.002732
3,0.499048,0.719974,1.647152,0.437953,0.223209,0.000000,0.399225,0.082804,0.344309,0.000000
1,0.497447,0.717665,1.644518,0.424195,0.224403,0.000000,0.398143,0.074942,0.343390,0.000000
2,0.473923,0.683726,1.606283,0.489960,0.251079,0.389831,0.472438,0.046319,0.343390,0.002584
3,0.500820,0.722530,1.650073,0.495253,0.218417,0.519774,0.453276,0.022561,0.343390,0.002584
1,0.543384,0.783938,1.721824,0.468044,0.229599,0.000000,0.385044,0.156948,0.334400,0.000000
2,0.554310,0.799700,1.740739,0.392681,0.206582,0.000000,0.334424,0.136956,0.334400,0.000000
3,0.513091,0.740234,1.670447,0.517193,0.279986,0.977660,0.482912,0.111468,0.334400,0.000000
1,0.551703,0.795939,1.736207,0.511042,0.290447,0.951807,0.436147,0.213083,0.344309,0.000000
2,0.534506,0.771129,1.706604,0.519941,0.219195,0.951807,0.427760,0.094819,0.344309,0.002732
3,0.499048,0.719974,1.647152,0.437953,0.223209,0.000000,0.399225,0.082804,0.344309,0.000000
