model,epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation,ece,mce,brier,accuracy,avg_conf,p0_given_E,p0_given_O,frac_O,argmax0_given_O
ar,1,0.638536,0.921213,1.893707,0.277043,0.277042,0.000000,0.055764,0.055764,0.450312,0.667193,0.722957,0.277043,0.277042,0.333400,0.000000
ar,2,0.642669,0.927176,1.901550,0.284109,0.284110,0.000000,0.048697,0.048697,0.448836,0.667193,0.715891,0.284109,0.284110,0.333400,0.000000
ar,3,0.639108,0.922037,1.894789,0.314558,0.314554,0.000000,0.018251,0.018251,0.444758,0.667193,0.685445,0.314556,0.314554,0.333400,0.000000
