epoch,val_loss_nats,val_loss_bits,val_ppl,p00,p01,zero_violation
1,0.462246,0.666881,1.587637,0.000421,0.526406,0.000000
2,0.460419,0.664245,1.584738,0.000019,0.454465,0.000000
1,0.462246,0.666881,1.587637,0.000421,0.526406,0.000000
2,0.460419,0.664245,1.584738,0.000019,0.454465,0.000000
3,0.462603,0.667395,1.588203,0.000188,0.490791,0.000000
ar,1,0.469130,0.676812,1.598603,0.000218,0.528326,0.000000,0.024272,0.105838,0.336701,0.659800,0.683883
ar,1,0.462107,0.666679,1.587415,0.000102,0.467430,0.000000,0.019988,0.030330,0.335116,0.667866,0.687786
ar,2,0.465350,0.671358,1.592571,0.000246,0.496139,0.000000,0.000745,0.158048,0.333948,0.667990,0.668571
ar,3,0.461407,0.665669,1.586304,0.000027,0.455252,0.000000,0.028096,0.042055,0.336283,0.667866,0.695944
