history,L,count,p_emp,p_model,p_calibrated
0,1,16766,0.5009543299674988,0.6499329805374146,0.6203842163085938
00,2,8367,0.49766942858695984,0.6499329805374146,0.6203842163085938
000,3,4203,0.49536046385765076,0.6499329805374146,0.6203842163085938
0000,4,2121,0.48797735571861267,0.6499329805374146,0.6203842163085938
00000,5,1086,0.4861878454685211,0.6499329805374146,0.6203842163085938
000000,6,558,0.5053763389587402,0.6499329805374146,0.6203842163085938
0000000,7,276,0.510869562625885,0.6499329805374146,0.6203842163085938
00000000,8,135,0.46666666865348816,0.6499329805374146,0.6203842163085938
00000001,8,141,1.0,0.687717854976654,0.7959704399108887
0000001,7,282,1.0,0.687717854976654,0.7959704399108887
00000011,8,282,0.4609929025173187,0.6782070994377136,0.7572057843208313
000001,6,528,1.0,0.687717854976654,0.7959704399108887
0000011,7,528,0.469696968793869,0.6782070994377136,0.7572057843208313
00000110,8,280,0.46071428060531616,0.6108348369598389,0.40983662009239197
00000111,8,248,1.0,0.6671390533447266,0.7070737481117249
00001,5,1035,1.0,0.687717854976654,0.7959704399108887
000011,6,1035,0.4763284921646118,0.6782070994377136,0.7572057843208313
0000110,7,542,0.4797047972679138,0.6108348369598389,0.40983662009239197
00001100,8,282,0.4680851101875305,0.6272280812263489,0.4974187910556793
00001101,8,260,1.0,0.6727049350738525,0.7329221367835999
0000111,7,493,1.0,0.6671390533447266,0.7070737481117249
00001111,8,493,0.4787018299102783,0.6627076864242554,0.6856467723846436
0001,4,2082,1.0,0.687717854976654,0.7959704399108887
00011,5,2082,0.4927953779697418,0.6782070994377136,0.7572057843208313
000110,6,1056,0.47159090638160706,0.6108348369598389,0.40983662009239197
0001100,7,558,0.4982078969478607,0.6272280812263489,0.4974187910556793
00011000,8,280,0.5607143044471741,0.6399428844451904,0.5668044090270996
00011001,8,278,1.0,0.6786899566650391,0.7592737674713135
0001101,7,498,1.0,0.6727049350738525,0.7329221367835999
00011011,8,498,0.5200803279876709,0.6682788729667664,0.7124669551849365
000111,6,1026,1.0,0.6671390533447266,0.7070737481117249
0001111,7,1026,0.4736842215061188,0.6627076864242554,0.6856467723846436
00011110,8,540,0.5018518567085266,0.6294644474983215,0.5096189975738525
00011111,8,486,1.0,0.6639582514762878,0.6917650699615479
001,3,4164,1.0,0.687717854976654,0.7959704399108887
0011,4,4164,0.4915946125984192,0.6782070994377136,0.7572057843208313
00110,5,2117,0.4964572489261627,0.6108348369598389,0.40983662009239197
001100,6,1066,0.4924952983856201,0.6272280812263489,0.4974187910556793
0011000,7,541,0.5378928184509277,0.6399428844451904,0.5668044090270996
00110000,8,250,0.5120000243186951,0.6434082984924316,0.5855599045753479
00110001,8,291,1.0,0.6824470162391663,0.7750032544136047
0011001,7,525,1.0,0.6786899566650391,0.7592737674713135
00110011,8,525,0.47238096594810486,0.6704018115997314,0.7223767638206482
001101,6,1051,1.0,0.6727049350738525,0.7329221367835999
0011011,7,1051,0.5080875158309937,0.6682788729667664,0.7124669551849365
00110110,8,517,0.4893617033958435,0.619803786277771,0.45722508430480957
00110111,8,534,1.0,0.6594952940940857,0.6696870923042297
00111,5,2047,1.0,0.6671390533447266,0.7070737481117249
001111,6,2047,0.4904738664627075,0.6627076864242554,0.6856467723846436
0011110,7,1043,0.5158197283744812,0.6294644474983215,0.5096189975738525
00111100,8,505,0.4910891056060791,0.637090265750885,0.5512784719467163
00111101,8,538,1.0,0.6701709628105164,0.7213077545166016
0011111,7,1004,1.0,0.6639582514762878,0.6917650699615479
00111111,8,1004,0.4940239191055298,0.6647555828094482,0.6956373453140259
01,2,8399,1.0,0.687717854976654,0.7959704399108887
011,3,8398,0.49464157223701477,0.6782070994377136,0.7572057843208313
0110,4,4244,0.4922243058681488,0.6108348369598389,0.40983662009239197
01100,5,2155,0.5044083595275879,0.6272280812263489,0.4974187910556793
011000,6,1068,0.5131086111068726,0.6399428844451904,0.5668044090270996
0110000,7,520,0.47884616255760193,0.6434082984924316,0.5855599045753479
01100000,8,271,0.43911439180374146,0.6423689126968384,0.5799494385719299
01100001,8,249,1.0,0.6871419548988342,0.7937430739402771
0110001,7,548,1.0,0.6824470162391663,0.7750032544136047
01100011,8,548,0.529197096824646,0.6733919978141785,0.7360253930091858
011001,6,1087,1.0,0.6786899566650391,0.7592737674713135
0110011,7,1087,0.48114076256752014,0.6704018115997314,0.7223767638206482
01100110,8,564,0.5017730593681335,0.6188786029815674,0.45226603746414185
01100111,8,523,1.0,0.6606050729751587,0.6752389073371887
01101,5,2089,1.0,0.6727049350738525,0.7329221367835999
011011,6,2089,0.5069411396980286,0.6682788729667664,0.7124669551849365
0110110,7,1030,0.4883495271205902,0.619803786277771,0.45722508430480957
01101100,8,527,0.5237191915512085,0.6324073672294617,0.5257009267807007
01101101,8,503,1.0,0.6679942607879639,0.7111250162124634
0110111,7,1059,1.0,0.6594952940940857,0.6696870923042297
01101111,8,1059,0.493862122297287,0.661722719669342,0.6807897090911865
0111,4,4154,1.0,0.6671390533447266,0.7070737481117249
01111,5,4154,0.494463175535202,0.6627076864242554,0.6856467723846436
011110,6,2100,0.5152381062507629,0.6294644474983215,0.5096189975738525
0111100,7,1018,0.4754420518875122,0.637090265750885,0.5512784719467163
01111000,8,534,0.5112359523773193,0.6397736072540283,0.5658852458000183
01111001,8,484,1.0,0.6744383573532104,0.7407131791114807
0111101,7,1082,1.0,0.6701709628105164,0.7213077545166016
01111011,8,1082,0.49722737073898315,0.6648425459861755,0.6960583925247192
011111,6,2054,1.0,0.6639582514762878,0.6917650699615479
0111111,7,2054,0.49756571650505066,0.6647555828094482,0.6956373453140259
01111110,8,1032,0.4990310072898865,0.640440821647644,0.5695080161094666
01111111,8,1022,1.0,0.6656405925750732,0.6999083161354065
1,1,33233,0.7472993731498718,0.687717854976654,0.7959704399108887
10,2,8398,0.5041676759719849,0.6218385100364685,0.4681764245033264
100,3,4164,0.5,0.6272169947624207,0.4973584711551666
1000,4,2082,0.5028818249702454,0.6404334902763367,0.5694680213928223
10000,5,1035,0.4898550808429718,0.6456546187400818,0.5976321697235107
100000,6,528,0.46590909361839294,0.6462384462356567,0.6007569432258606
1000000,7,282,0.5,0.6459527015686035,0.5992283821105957
10000000,8,141,0.5531914830207825,0.6532872915267944,0.6379519701004028
10000001,8,141,1.0,0.7006011605262756,0.8416568636894226
1000001,7,246,1.0,0.6914188861846924,0.8099081516265869
10000011,8,246,0.4796747863292694,0.6832587122917175,0.7783166170120239
100001,6,507,1.0,0.6871216893196106,0.7936643362045288
1000011,7,507,0.483234703540802,0.6780306696891785,0.7564477324485779
10000110,8,262,0.5,0.6082637310028076,0.39658886194229126
10000111,8,245,1.0,0.6665369868278503,0.7042049169540405
10001,5,1047,1.0,0.6845974922180176,0.7837148308753967
100011,6,1047,0.5090735554695129,0.6751465797424316,0.7438596487045288
1000110,7,514,0.4630350172519684,0.6144054532051086,0.4285038709640503
10001100,8,276,0.5289855003356934,0.6274529695510864,0.49864453077316284
10001101,8,238,1.0,0.6739493012428284,0.7385278940200806
1000111,7,533,1.0,0.6642321944236755,0.6930980086326599
10001111,8,533,0.46904316544532776,0.6645696759223938,0.6947365999221802
1001,4,2082,1.0,0.681839644908905,0.7725040912628174
10011,5,2082,0.49039384722709656,0.6732082962989807,0.7351973652839661
100110,6,1061,0.5212064385414124,0.6140769720077515,0.42677414417266846
1001100,7,508,0.48622047901153564,0.629224956035614,0.5083115696907043
10011000,8,261,0.5134099721908569,0.6420398354530334,0.5781705379486084
10011001,8,247,1.0,0.6820203065872192,0.7732494473457336
1001101,7,553,1.0,0.670092761516571,0.7209452986717224
10011011,8,553,0.4972875118255615,0.6680888533592224,0.711571216583252
100111,6,1021,1.0,0.6620588302612305,0.6824508309364319
1001111,7,1021,0.5073457360267639,0.6624299883842468,0.6842805743217468
10011110,8,503,0.5308151245117188,0.634878396987915,0.5392055511474609
10011111,8,518,1.0,0.6677810549736023,0.7101174592971802
101,3,4234,1.0,0.6782019734382629,0.7571839094161987
1011,4,4233,0.4977557361125946,0.6713339686393738,0.7266709208488464
10110,5,2126,0.4882408380508423,0.6152985095977783,0.4332168698310852
101100,6,1088,0.515625,0.629798948764801,0.511445939540863
1011000,7,527,0.4876660406589508,0.6388301849365234,0.5607558488845825
10110000,8,270,0.4481481611728668,0.6453288793563843,0.5958863496780396
10110001,8,257,1.0,0.6872230768203735,0.7940579056739807
1011001,7,561,1.0,0.6770277619361877,0.7521116137504578
10110011,8,561,0.4901960790157318,0.6692473292350769,0.7170098423957825
101101,6,1038,1.0,0.6692785620689392,0.7171555757522583
1011011,7,1038,0.5057803392410278,0.6666948795318604,0.704958438873291
10110110,8,513,0.4873294234275818,0.6200554966926575,0.4585767686367035
10110111,8,525,1.0,0.6582780480384827,0.6635527014732361
10111,5,2107,1.0,0.6615061163902283,0.6797171831130981
101111,6,2107,0.49833887815475464,0.661234974861145,0.6783723831176758
1011110,7,1057,0.5146641731262207,0.6350411772727966,0.540094792842865
10111100,8,513,0.4600389897823334,0.6408942341804504,0.5719667673110962
