history,L,count,p_emp,p_model,p_calibrated
0,1,16766,0.5009543299674988,0.6499329805374146,0.9979491829872131
00,2,8367,0.49766942858695984,0.6499329805374146,0.9979491829872131
000,3,4203,0.49536046385765076,0.6499329805374146,0.9979491829872131
0000,4,2121,0.48797735571861267,0.6499329805374146,0.9979491829872131
00000,5,1086,0.4861878454685211,0.6499329805374146,0.9979491829872131
000000,6,558,0.5053763389587402,0.6499329805374146,0.9979491829872131
0000000,7,276,0.510869562625885,0.6499329805374146,0.9979491829872131
00000000,8,135,0.46666666865348816,0.6499329805374146,0.9979491829872131
00000001,8,141,1.0,0.687717854976654,0.9996274709701538
0000001,7,282,1.0,0.687717854976654,0.9996274709701538
00000011,8,282,0.4609929025173187,0.6782070994377136,0.9994220733642578
000001,6,528,1.0,0.687717854976654,0.9996274709701538
0000011,7,528,0.469696968793869,0.6782070994377136,0.9994220733642578
00000110,8,280,0.46071428060531616,0.6108348369598389,0.9891021251678467
00000111,8,248,1.0,0.6671390533447266,0.9990448355674744
00001,5,1035,1.0,0.687717854976654,0.9996274709701538
000011,6,1035,0.4763284921646118,0.6782070994377136,0.9994220733642578
0000110,7,542,0.4797047972679138,0.6108348369598389,0.9891021251678467
00001100,8,282,0.4680851101875305,0.6272280812263489,0.9945323467254639
00001101,8,260,1.0,0.6727049350738525,0.9992572665214539
0000111,7,493,1.0,0.6671390533447266,0.9990448355674744
00001111,8,493,0.4787018299102783,0.6627076864242554,0.998835027217865
0001,4,2082,1.0,0.687717854976654,0.9996274709701538
00011,5,2082,0.4927953779697418,0.6782070994377136,0.9994220733642578
000110,6,1056,0.47159090638160706,0.6108348369598389,0.9891021251678467
0001100,7,558,0.4982078969478607,0.6272280812263489,0.9945323467254639
00011000,8,280,0.5607143044471741,0.6399428844451904,0.9968309998512268
00011001,8,278,1.0,0.6786899566650391,0.9994346499443054
0001101,7,498,1.0,0.6727049350738525,0.9992572665214539
00011011,8,498,0.5200803279876709,0.6682788729667664,0.999092698097229
000111,6,1026,1.0,0.6671390533447266,0.9990448355674744
0001111,7,1026,0.4736842215061188,0.6627076864242554,0.998835027217865
00011110,8,540,0.5018518567085266,0.6294644474983215,0.9950292706489563
00011111,8,486,1.0,0.6639582514762878,0.9988982677459717
001,3,4164,1.0,0.687717854976654,0.9996274709701538
0011,4,4164,0.4915946125984192,0.6782070994377136,0.9994220733642578
00110,5,2117,0.4964572489261627,0.6108348369598389,0.9891021251678467
001100,6,1066,0.4924952983856201,0.6272280812263489,0.9945323467254639
0011000,7,541,0.5378928184509277,0.6399428844451904,0.9968309998512268
00110000,8,250,0.5120000243186951,0.6434082984924316,0.9972731471061707
00110001,8,291,1.0,0.6824470162391663,0.9995243549346924
0011001,7,525,1.0,0.6786899566650391,0.9994346499443054
00110011,8,525,0.47238096594810486,0.6704018115997314,0.9991756081581116
001101,6,1051,1.0,0.6727049350738525,0.9992572665214539
0011011,7,1051,0.5080875158309937,0.6682788729667664,0.999092698097229
00110110,8,517,0.4893617033958435,0.619803786277771,0.9925135970115662
00110111,8,534,1.0,0.6594952940940857,0.9986555576324463
00111,5,2047,1.0,0.6671390533447266,0.9990448355674744
001111,6,2047,0.4904738664627075,0.6627076864242554,0.998835027217865
0011110,7,1043,0.5158197283744812,0.6294644474983215,0.9950292706489563
00111100,8,505,0.4910891056060791,0.637090265750885,0.9964156150817871
00111101,8,538,1.0,0.6701709628105164,0.9991669654846191
0011111,7,1004,1.0,0.6639582514762878,0.9988982677459717
00111111,8,1004,0.4940239191055298,0.6647555828094482,0.9989369511604309
01,2,8399,1.0,0.687717854976654,0.9996274709701538
011,3,8398,0.49464157223701477,0.6782070994377136,0.9994220733642578
0110,4,4244,0.4922243058681488,0.6108348369598389,0.9891021251678467
01100,5,2155,0.5044083595275879,0.6272280812263489,0.9945323467254639
011000,6,1068,0.5131086111068726,0.6399428844451904,0.9968309998512268
0110000,7,520,0.47884616255760193,0.6434082984924316,0.9972731471061707
01100000,8,271,0.43911439180374146,0.6423689126968384,0.997147262096405
01100001,8,249,1.0,0.6871419548988342,0.999617338180542
0110001,7,548,1.0,0.6824470162391663,0.9995243549346924
01100011,8,548,0.529197096824646,0.6733919978141785,0.9992801547050476
011001,6,1087,1.0,0.6786899566650391,0.9994346499443054
