history,L,count,p_emp,p_model,p_calibrated
0,1,26558,1.0,0.6143270134925842,0.9923511147499084
01,2,26558,0.5057986378669739,0.5459244847297668,0.47187793254852295
010,3,13125,1.0,0.6929299235343933,0.9999837875366211
0101,4,13125,0.5067428350448608,0.5466983318328857,0.4856645464897156
01010,5,6474,1.0,0.8174689412117004,1.0
010101,6,6474,0.5047883987426758,0.547575831413269,0.5013280510902405
0101010,7,3206,1.0,0.9272961020469666,1.0
01010101,8,3206,0.5040549039840698,0.5485680103302002,0.5190398693084717
0101011,7,3267,0.4903581142425537,0.548403799533844,0.5161099433898926
01010110,8,1665,1.0,0.9848868250846863,1.0
01010111,8,1602,0.5006242394447327,0.5491049885749817,0.5286107659339905
01011,5,6650,0.4932330846786499,0.5473639965057373,0.4975447356700897
010110,6,3370,1.0,0.9346327185630798,1.0
0101101,7,3370,0.4964391589164734,0.5484046339988708,0.5161246061325073
01011010,8,1697,1.0,0.9814600944519043,1.0
01011011,8,1673,0.5062761306762695,0.5492435097694397,0.5310763716697693
010111,6,3280,0.5076219439506531,0.5480785965919495,0.5103043913841248
0101110,7,1615,1.0,0.9823634624481201,1.0
01011101,8,1615,0.5133126974105835,0.549224853515625,0.5307455062866211
0101111,7,1665,0.49669671058654785,0.5488408803939819,0.5239050388336182
01011110,8,838,1.0,0.9928332567214966,1.0
01011111,8,827,0.5066505670547485,0.5496437549591064,0.5381954312324524
011,3,13432,0.5010423064231873,0.5467423796653748,0.4864503741264343
0110,4,6702,1.0,0.8315808773040771,1.0
01101,5,6702,0.4974634349346161,0.5473825931549072,0.497877836227417
011010,6,3368,1.0,0.9268463253974915,1.0
0110101,7,3368,0.5074228048324585,0.5486090779304504,0.5197715759277344
01101010,8,1659,1.0,0.9797458052635193,1.0
01101011,8,1709,0.49912229180336,0.549437403678894,0.534526526927948
011011,6,3334,0.5137972235679626,0.5482660531997681,0.5136509537696838
0110110,7,1621,1.0,0.979492723941803,1.0
01101101,8,1621,0.4966070353984833,0.5494202971458435,0.5342229604721069
0110111,7,1713,0.483946293592453,0.5491575598716736,0.529547393321991
01101110,8,884,1.0,0.992429792881012,1.0
01101111,8,829,0.4969843327999115,0.5499933958053589,0.5444009900093079
