context_length,loss,sequence_focus_ratio
2,0.553365734219551,0.0
4,0.5624389243125916,0.0
6,0.5679193723201752,0.0
8,0.5848517513275147,0.0
10,0.5673280036449433,0.0
12,0.5712729203701019,0.0
14,0.5776389694213867,0.0
16,0.5799666732549668,0.0
