context_length,loss,sequence_focus_ratio
2,0.5543516427278519,0.0
4,0.5633290976285934,0.0
6,0.5675982511043549,0.0
8,0.5849628347158432,0.0
10,0.5677981489896774,0.0
12,0.5711790388822555,0.0
14,0.5790454095602036,0.0
16,0.5798620706796647,0.0
