bin_lower,bin_upper,count,avg_pred,emp_acc
0.0,0.06666667014360428,0,0.03333333507180214,0.0
0.06666667014360428,0.13333334028720856,0,0.10000000894069672,0.0
0.13333334028720856,0.20000001788139343,0,0.1666666865348816,0.0
0.20000001788139343,0.2666666805744171,0,0.23333334922790527,0.0
0.2666666805744171,0.3333333432674408,0,0.30000001192092896,0.0
0.3333333432674408,0.40000003576278687,0,0.36666667461395264,0.0
0.40000003576278687,0.46666669845581055,0,0.4333333671092987,0.0
0.46666669845581055,0.5333333015441895,53399,0.5244154930114746,0.5030431151390076
0.5333333015441895,0.5999999642372131,0,0.5666666030883789,0.0
0.5999999642372131,0.6666666269302368,0,0.6333333253860474,0.0
0.6666666269302368,0.7333333492279053,0,0.699999988079071,0.0
0.7333333492279053,0.800000011920929,0,0.7666666507720947,0.0
0.800000011920929,0.8666666746139526,0,0.8333333730697632,0.0
0.8666666746139526,0.9333333373069763,0,0.8999999761581421,0.0
0.9333333373069763,1.0,26537,0.9994894862174988,1.0
