layer_idx,layer_name,probe_type,hidden_dim,loss,accuracy,num_tokens
0,embedding,linear,,1.1843603149142832,0.48611534940494355,6554
0,embedding,mlp,256,1.1051584734289537,0.49008239243210255,6554
1,layer_0,linear,,1.0006744888158408,0.5558437595361612,6554
1,layer_0,mlp,256,0.6462325644740471,0.7003356728715289,6554
2,layer_1,linear,,0.5557948320076384,0.8407079646017699,6554
2,layer_1,mlp,256,0.07752004225315173,0.9774183704607873,6554
3,ln_f,linear,,0.22466781916398626,0.9226426609703997,6554
3,ln_f,mlp,256,0.041919580248954966,0.9877937137625877,6554
