layer_idx,layer_name,probe_type,hidden_dim,loss,accuracy,num_tokens
0,embedding,linear,,1.1750912221786922,0.48611534940494355,6554
0,embedding,mlp,256,1.1039674777536448,0.48992981385413487,6554
1,layer_0,linear,,0.6880470773669544,0.7836435764418676,6554
1,layer_0,mlp,256,0.17291732483478373,0.9336283185840708,6554
2,layer_1,linear,,0.007614259234935654,0.9981690570643882,6554
2,layer_1,mlp,256,4.923791455782124e-05,1.0,6554
3,ln_f,linear,,0.0034766173622760494,1.0,6554
3,ln_f,mlp,256,3.152401007535488e-05,1.0,6554
