layer_idx,layer_name,probe_type,hidden_dim,distance_loss,distance_accuracy,num_pairs
0,embedding,linear,,0.6026319887058234,0.7182309603731636,45878
0,embedding,mlp,256,0.5440574322017475,0.7223287850385806,45878
1,layer_0,linear,,0.5248035138287048,0.7646148480753302,45878
1,layer_0,mlp,256,0.34911615386728034,0.8254501068050045,45878
2,layer_1,linear,,0.3412202797195771,0.8958106281878024,45878
2,layer_1,mlp,256,0.05370948656934189,0.9804917389598501,45878
3,ln_f,linear,,0.17246617167178618,0.9401674004969702,45878
3,ln_f,mlp,256,0.03241338244269025,0.9903221587689088,45878
