history,L,count,p_emp,p_neural
1,1,53441,0.503040736513164,0.5471426844596863
11,2,26882,0.5003347965181162,0.5479511455312029
0,1,26558,1.0,0.6243333444396648
01,2,26558,0.5057986294148655,0.547739565372467
10,2,26558,1.0,0.9778247384557059
101,3,26558,0.5057986294148655,0.5489135980606079
111,3,13450,0.4996282527881041,0.5492139458656311
011,3,13432,0.5010422870756402,0.548813803529328
1011,4,13432,0.5010422870756402,0.5495143532752991
110,3,13432,1.0,0.9912283235932081
1101,4,13432,0.5048391899940441,0.5498155519311294
010,3,13125,1.0,0.9733534419039136
0101,4,13125,0.5067428571428572,0.5482479497268185
1010,4,13125,1.0,0.9862992891098711
0111,4,6730,0.5011887072808321,0.549369351547043
1110,4,6730,1.0,0.9892570560659665
1111,4,6720,0.4980654761904762,0.5498751238025688
0110,4,6702,1.0,0.9935825143238641
